3,"t","Crop Production Historical Track Records: Released April 11, 2022, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
3,"t","Barley Area Planted and Harvested, Yield, Production, Price, and Value –"
3,"t","United States: 1866-2021"
3,"t","[Blank data cells indicate a program change or that the estimation period has not yet begun]"
3,"h","","","","","","",""
3,"h","Year","Area planted","Area harvested","Yield per acre","Production","Price per bushel 1/","Value of production"
3,"h","","","","","","",""
3,"u","","(1,000 acres)","(1,000 acres)","(bushels)","(1,000 bushels)","(dollars)","(1,000 dollars)"
3,"d","1866",,754,24.0,18095,0.952,17231
3,"d","1867",,1058,22.5,23850,1.220,29060
3,"d","1868",,1064,21.8,23200,1.490,34560
3,"d","1869",,1238,23.5,29099,0.872,25386
3,"d","",,,,,,
3,"d","1870",,1331,21.8,29047,0.853,24764
3,"d","1871",,1348,20.5,27690,0.771,21343
3,"d","1872",,1421,22.5,32005,0.738,23623
3,"d","1873",,1473,20.7,30536,0.963,29392
3,"d","1874",,1628,22.2,36125,0.962,34753
3,"d","1875",,1702,19.3,32812,0.856,28090
3,"d","1876",,1973,20.6,40711,0.685,27894
3,"d","1877",,1962,20.0,39173,0.633,24780
3,"d","1878",,1848,20.3,37448,0.584,21861
3,"d","1879",,1926,22.0,42369,0.599,25359
3,"d","",,,,,,
3,"d","1880",,1990,22.7,45261,0.663,30011
3,"d","1881",,2201,22.3,48984,0.819,40100
3,"d","1882",,2434,24.7,60072,0.631,37903
3,"d","1883",,2474,23.1,57126,0.589,33632
3,"d","1884",,2694,25.2,67919,0.483,32816
3,"d","1885",,2862,22.3,63963,0.557,35642
3,"d","1886",,3027,24.3,73503,0.531,39042
3,"d","1887",,3258,22.2,72395,0.520,37612
3,"d","1888",,3283,23.1,75980,0.591,44883
3,"d","1889",,3352,24.1,80790,0.415,33508
3,"d","",,,,,,
3,"d","1890",,3250,21.5,69880,0.621,43422
3,"d","1891",,3590,26.2,94160,0.522,49182
3,"d","1892",,3857,24.7,95170,0.466,44388
3,"d","1893",,3689,23.6,87109,0.402,35009
3,"d","1894",,3639,20.4,74211,0.437,32438
3,"d","1895",,4185,25.0,104475,0.328,34280
3,"d","1896",,4131,23.6,97479,0.296,28888
3,"d","1897",,4120,24.9,102575,0.343,35212
3,"d","1898",,4113,23.9,98174,0.389,38169
3,"d","1899",,4472,26.4,118161,0.388,45847
3,"d","",,,,,,
3,"d","1900",,4703,20.5,96588,0.407,39309
3,"d","1901",,4963,24.9,123800,0.454,56202
3,"d","1902",,5474,26.7,146207,0.453,66262
3,"d","1903",,6231,24.0,149335,0.447,66783
3,"d","1904",,6579,25.2,166103,0.412,68453
3,"d","1905",,6658,25.8,171639,0.394,67646
3,"d","1906",,6744,26.6,179148,0.418,74867
3,"d","1907",,6854,22.0,150584,0.665,100192
3,"d","1908",,7409,23.1,170780,0.566,96691
3,"d","1909","",7697,22.5,173069,0.568,96675
3,"c",""
3,"c","See footnote(s) at end of table.","--continued"
