47,"t","Crop Production Historical Track Records: Released April 11, 2022, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
47,"t","Flaxseed Area Planted and Harvested, Yield, Production, Price, and Value –"
47,"t","United States: 1866-2021"
47,"t","[Blank data cells indicate a program change or that the estimation period has not yet begun]"
47,"h","","","","","","",""
47,"h","Year 1/","Area planted","Area harvested","Yield per acre","Production","Price per bushel 2/","Value of production"
47,"h","","","","","","",""
47,"u","","(1,000 acres)","(1,000 acres)","(bushels)","(1,000 bushels)","(dollars)","(1,000 dollars)"
47,"d","1866",,,,1800,,
47,"d","1867",,,,1900,,
47,"d","1868",,,,2000,,
47,"d","1869",,,,2100,,
47,"d","",,,,,,
47,"d","1870",,,,2400,,
47,"d","1871",,,,2800,,
47,"d","1872",,,,3400,,
47,"d","1873",,,,4800,,
47,"d","1874",,,,5400,,
47,"d","1875",,,,5400,,
47,"d","1876",,,,5800,,
47,"d","1877",,,,7000,,
47,"d","1878",,,,7000,,
47,"d","1879",,,,7171,,
47,"d","",,,,,,
47,"d","1880",,,,7500,,
47,"d","1881",,,,7800,,
47,"d","1882",,,,8600,,
47,"d","1883",,,,8600,,
47,"d","1884",,,,9500,,
47,"d","1885",,,,9300,,
47,"d","1886",,,,10000,,
47,"d","1887",,,,9800,,
47,"d","1888",,,,10000,,
47,"d","1889",,1344,7.9,10614,,
47,"d","",,,,,,
47,"d","1890",,2283,8.4,19176,,
47,"d","1891",,2040,8.2,16732,,
47,"d","1892",,1423,8.3,11807,,
47,"d","1893",,1287,8.1,10421,,
47,"d","1894",,1457,7.2,10490,,
47,"d","1895",,2039,10.5,21414,,
47,"d","1896",,1848,9.6,17738,,
47,"d","1897",,1365,9.7,13238,,
47,"d","1898",,1889,9.8,18516,,
47,"d","1899",,2102,9.5,19969,,
47,"d","",,,,,,
47,"d","1900",,2762,5.8,16017,,
47,"d","1901",,3173,8.7,27605,,
47,"d","1902",,3878,9.3,36080,1.05,37919
47,"d","1903",,3180,8.0,25360,0.81,20617
47,"d","1904",,2092,10.8,22625,0.99,22459
47,"d","1905",,2439,11.8,28692,0.84,24190
47,"d","1906",,2568,10.8,27635,1.02,28049
47,"d","1907",,2699,8.8,23793,0.96,22742
47,"d","1908",,2351,8.8,20627,1.16,23871
47,"d","1909","",2081,9.4,19511,1.42,27755
47,"c",""
47,"c","See footnote(s) at end of table.","--continued"
