Country Name,Country Code,Time,Time Code,CO2 emissions (kt) [EN.ATM.CO2E.KT],Population growth (annual %) [SP.POP.GROW],Forest area (% of land area) [AG.LND.FRST.ZS],"Electricity production from oil, gas and coal sources (% of total) [EG.ELC.FOSL.ZS]",Renewable electricity output (% of total electricity output) [EG.ELC.RNEW.ZS],Urban population growth (annual %) [SP.URB.GROW],Total greenhouse gas emissions (% change from 1990) [EN.ATM.GHGT.ZG],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],Fossil fuel energy consumption (% of total) [EG.USE.COMM.FO.ZS],Research and development expenditure (% of GDP) [GB.XPD.RSDV.GD.ZS],Exports of goods and services (annual % growth) [NE.EXP.GNFS.KD.ZG],Population density (people per sq. km of land area) [EN.POP.DNST]
United States,USA,1972,YR1972,..,1.070522752,..,82.13832897,..,1.084106289,..,5.258907357,95.36675779,..,7.794517071,22.91701241
United States,USA,1973,YR1973,..,0.954476729,..,81.8215536,..,0.968058589,..,5.645722556,94.97718869,..,18.8189749,23.13679719
United States,USA,1974,YR1974,..,0.913660196,..,78.12392871,..,0.927239982,..,-0.540551652,94.15645425,..,7.942504962,23.34915755
United States,USA,1975,YR1975,..,0.985986067,..,75.62526104,..,0.999564503,..,-0.205456065,93.09795311,..,-0.640480944,23.58051569
United States,USA,1976,YR1976,..,0.950220049,..,76.93078018,..,0.963796081,..,5.388139287,93.00561548,..,4.366799917,23.80565042
United States,USA,1977,YR1977,..,1.005771996,..,77.92290457,..,1.019346153,..,4.624153065,92.42230273,..,2.403596604,24.0462891
United States,USA,1978,YR1978,..,1.05957308,..,74.97420613,..,1.071788951,..,5.535304958,91.74380612,..,10.55530331,24.30243172
United States,USA,1979,YR1979,..,1.103576565,..,76.36641334,..,1.117147538,..,3.166145308,91.80292616,..,9.902687269,24.57211299
United States,USA,1980,YR1980,..,0.959589923,..,77.30941944,..,1.021992478,..,-0.256749674,91.42607196,..,10.76730455,24.80903945
United States,USA,1981,YR1981,..,0.981415437,..,77.07260987,..,1.187337971,..,2.537719307,90.83194655,..,1.218768424,25.05371789
United States,USA,1982,YR1982,..,0.953317566,..,74.03194012,..,1.158817769,..,-1.802887409,90.0431205,..,-7.657025506,25.29370147
United States,USA,1983,YR1983,..,0.914378513,..,73.32934538,..,1.119456627,..,4.583913355,89.45506708,..,-2.591165396,25.52604226
United States,USA,1984,YR1984,..,0.865817336,..,73.471158,..,1.067786202,..,7.23663315,88.90104144,..,8.152881002,25.74801069
United States,USA,1985,YR1985,..,0.886129041,..,73.22376006,..,1.087690787,..,4.169656223,88.30166868,..,3.350660344,25.97718518
United States,USA,1986,YR1986,..,0.924164157,..,71.78360313,..,1.125320221,..,3.462645971,87.65663266,..,7.662162229,26.21836977
United States,USA,1987,YR1987,..,0.893829201,..,73.04385013,..,1.093244264,..,3.45925199,87.37781446,..,10.92877258,26.45376768
United States,USA,1988,YR1988,..,0.90799904,..,72.71828056,..,1.107017474,..,4.177061291,87.07723872,..,16.21229191,26.69506145
United States,USA,1989,YR1989,..,0.944405555,..,71.59522438,..,1.140364939,..,3.67264815,87.09328724,..,11.57675846,26.94836532
United States,USA,1990,YR1990,4844520,1.12965052,33.02230821,69.06322661,11.52864685,1.410256285,..,1.885964957,86.43783832,..,8.82198895,27.25451361
United States,USA,1991,YR1991,4807500,1.336260741,33.03416545,68.8630645,10.75741423,1.867384399,-1.017743618,-0.108264791,85.69473785,..,6.614250576,27.62114913
United States,USA,1992,YR1992,4879630,1.386885692,33.04602269,69.54947369,9.916110117,1.908632997,0.022895675,3.522440527,85.57482233,..,6.92727318,28.00689161
United States,USA,1993,YR1993,4995210,1.31868,33.05787993,70.14480233,10.48432561,1.831182276,2.38931822,2.751781051,86.11796479,..,3.264728111,28.37865871
United States,USA,1994,YR1994,5066810,1.226296089,33.06973718,70.26371519,9.747235524,1.73098223,3.893123532,4.02879326,85.91212906,..,8.836055691,28.72880764
United States,USA,1995,YR1995,5117040,1.190787091,33.08159442,68.81148525,10.80108499,1.686466663,3.735326067,2.684217272,85.46933598,..,10.27822221,29.07295151
United States,USA,1996,YR1996,5273490,1.16341162,33.09345166,68.48394684,11.58145005,1.652782978,7.197080683,3.772565499,85.51006132,2.450010061,8.176546458,29.41316481
United States,USA,1997,YR1997,5543350,1.203960297,33.1053089,70.52875372,10.97782813,1.681975267,9.587873783,4.447174945,86.45649442,2.479830027,11.90958212,29.76942797
United States,USA,1998,YR1998,5590540,1.165714526,33.11716614,71.28019842,9.608584982,1.637627657,9.988808026,4.481394432,86.08659433,2.504009962,2.335732799,30.11848507
United States,USA,1999,YR1999,5609020,1.148340047,33.12902338,70.64335903,9.069200581,1.612956772,10.95231518,4.794499045,85.78460105,2.549649954,4.983626754,30.46634116
United States,USA,2000,YR2000,5775810,1.112768997,33.13017359,71.59345088,8.205996942,1.512011391,13.57590623,4.077159479,85.88083054,2.628789902,8.311154553,30.79730133
United States,USA,2001,YR2001,5748260,0.989741382,33.18675561,72.19882824,6.783992314,1.213380422,11.16577021,0.954338729,86.34598091,2.648299932,-5.582071471,31.10362839
United States,USA,2002,YR2002,5593029.785,0.927797486,33.24333764,70.98737606,8.646361178,1.148418847,13.78227532,1.695942923,86.24908436,2.559259892,-1.961877579,31.39354993
United States,USA,2003,YR2003,5658990.234,0.859481713,33.29991967,71.28935205,8.889376121,1.078360384,13.93658196,2.796209101,86.27838541,2.564549923,2.103037715,31.66453462
United States,USA,2004,YR2004,5738290.039,0.925483969,33.35650169,71.38570134,8.630185532,1.143885301,18.05999208,3.852552601,86.12431287,2.502429962,9.63718062,31.95894507
United States,USA,2005,YR2005,5753490.234,0.921713167,33.41308372,72.10486012,8.578465534,1.135884591,17.05832709,3.48322032,86.01853539,2.516969919,6.941598526,32.2548766
United States,USA,2006,YR2006,5653080.078,0.964253917,33.46966575,71.32592173,9.244631183,1.17796816,13.98273022,2.782810626,85.62647253,2.557640076,9.465440206,32.56739985
United States,USA,2007,YR2007,5736319.824,0.951055243,33.52624777,71.96688649,8.367763936,1.163067761,16.18062371,2.010507552,85.61470518,2.631609917,8.759206634,32.87861136
United States,USA,2008,YR2008,5558379.883,0.945865287,33.6360635,71.39217772,9.003541347,1.156185671,8.358700857,0.122188443,84.96822169,2.767910004,5.781700556,33.24368685
United States,USA,2009,YR2009,5156430.176,0.876651299,33.69273522,69.45036425,10.29184507,1.085290294,7.62660236,-2.599888351,84.15425372,2.812700033,-8.294352763,33.53639923
United States,USA,2010,YR2010,5392109.863,0.829616675,33.74940694,70.27776508,10.12035515,1.035344801,9.407540304,2.708856694,84.15058807,2.735399961,12.88280384,33.81578008
United States,USA,2011,YR2011,5173600.098,0.726786705,33.77947006,68.41785822,12.22571352,0.939505411,7.098335072,1.54989495,83.71405277,2.765249968,7.166455476,34.06244395
United States,USA,2012,YR2012,4956060.059,0.733599941,33.80953318,68.86283964,12.00739706,0.949565508,3.385655837,2.280687603,83.43717762,2.681659937,4.013503863,34.31324483
