99,"t","Crop Production Historical Track Records: Released April 11, 2022, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
99,"t","Rye Area Planted and Harvested, Yield, Production, Price, and Value –"
99,"t","United States: 1866-2021"
99,"t","[Blank data cells indicate a program change or that the estimation period has not yet begun]"
99,"h","","","","","","",""
99,"h","Year","Area planted","Area harvested","Yield per acre","Production","Price per bushel 1/","Value of production"
99,"h","","","","","","",""
99,"u","","(1,000 acres)","(1,000 acres)","(bushels)","(1,000 bushels)","(dollars)","(1,000 dollars)"
99,"d","1866",,1509,11.7,17619,,
99,"d","1867",,1649,11.9,19595,,
99,"d","1868",,1620,10.6,17218,,
99,"d","1869",,1631,11.0,17906,,
99,"d","",,,,,,
99,"d","1870",,1559,10.0,15637,,
99,"d","1871",,1588,10.7,16975,,
99,"d","1872",,1563,10.7,16776,,
99,"d","1873",,1553,10.4,16141,,
99,"d","1874",,1568,11.0,17305,,
99,"d","1875",,1647,10.3,16927,,
99,"d","1876",,1770,10.9,19266,,
99,"d","1877",,1844,11.9,21860,,
99,"d","1878",,1905,11.4,21755,,
99,"d","1879",,1825,10.8,19789,,
99,"d","",,,,,,
99,"d","1880",,1752,11.0,19306,,
99,"d","1881",,1749,11.0,19181,,
99,"d","1882",,2080,12.9,26747,,
99,"d","1883",,2123,12.0,25407,,
99,"d","1884",,2100,12.7,26627,,
99,"d","1885",,1897,11.4,21714,,
99,"d","1886",,1918,12.4,23854,,
99,"d","1887",,1985,11.4,22530,,
99,"d","1888",,2181,13.0,28440,,
99,"d","1889",,2248,13.1,29524,,
99,"d","",,,,,,
99,"d","1890",,2116,12.5,26378,,
99,"d","1891",,2180,13.6,29569,,
99,"d","1892",,2239,12.8,28718,,
99,"d","1893",,2162,12.3,26700,,
99,"d","1894",,2166,12.4,26758,,
99,"d","1895",,2400,12.3,29614,,
99,"d","1896",,2599,12.3,31852,,
99,"d","1897",,2323,13.4,31129,,
99,"d","1898",,2204,13.2,29044,,
99,"d","1899",,2059,12.6,26001,,
99,"d","",,,,,,
99,"d","1900",,2127,12.9,27413,,
99,"d","1901",,2409,12.8,30773,,
99,"d","1902",,2444,13.9,33862,,
99,"d","1903",,2260,12.8,28932,,
99,"d","1904",,2205,12.9,28461,,
99,"d","1905",,2297,13.6,31173,,
99,"d","1906",,2154,13.7,29609,,
99,"d","1907",,2073,13.6,28247,,
99,"d","1908",,2130,13.5,28650,,
99,"d","1909","",2212,13.6,30083,0.718
99,"c",""
99,"c","See footnote(s) at end of table.","--continued"
