Time,CO2_emissions_kt.x,Population_growth_annual_percent.x,Forest_area_percent.x,Electricity_production.x,Renewable_electricity_output.x,Urban_population_growth.x,Total_greenhouse_gas_emissions,GDP_growth,Fossil_fuel_energy_consumption,Research_development_expenditure,Goods_services_exports,Population_density,Time.y,CO2_emissions_kt.y,Population_growth_annual_percent.y,Forest_area_percent.y,Electricity_production.y,Renewable_electricity_output.y,Urban_population_growth.y,Area planted,Area harvested,Yield per acre,Production,Price per bushel 1/,Value of production
1990,4844520,1.12965,33.02231,69.06323,11.52865,1.41026,6.261501875,1.88597,86.43784,2.122804375,8.82199,27.25451,NA,NA,NA,NA,NA,NA,NA,260,253,15.1,3812,5.27,20108
1991,4807500,1.33626,33.03417,68.86307,10.75741,1.86738,-1.01774,-0.10827,85.69474,2.122804375,6.61425,27.62115,NA,NA,NA,NA,NA,NA,NA,356,342,18.1,6200,3.52,21845
1992,4879630,1.38689,33.04602,69.54947,9.91611,1.90863,0.0229,3.52244,85.57482,2.122804375,6.92727,28.00689,NA,NA,NA,NA,NA,NA,NA,171,165,19.9,3288,4.12,13543
1993,4995210,1.31868,33.05788,70.1448,10.48433,1.83118,2.38932,2.75178,86.11797,2.122804375,3.26473,28.37866,NA,NA,NA,NA,NA,NA,NA,206,191,18.2,3482,4.25,14857
1994,5066810,1.2263,33.06974,70.26372,9.74724,1.73098,3.89312,4.02879,85.91213,2.122804375,8.83606,28.72881,NA,NA,NA,NA,NA,NA,NA,178,171,17.1,2922,4.63,13590
1995,5117040,1.19079,33.08159,68.81149,10.80109,1.68647,3.73533,2.68422,85.46934,2.122804375,10.27822,29.07295,NA,NA,NA,NA,NA,NA,NA,165,147,15,2212,5.2,11481
1996,5273490,1.16341,33.09345,68.48395,11.58145,1.65278,7.19708,3.77257,85.51006,2.45001,8.17655,29.41317,NA,NA,NA,NA,NA,NA,NA,96,92,17.4,1602,6.37,10197
1997,5543350,1.20396,33.10531,70.52875,10.97783,1.68198,9.58787,4.44718,86.45649,2.47983,11.90958,29.76943,NA,NA,NA,NA,NA,NA,NA,151,146,16.6,2420,5.81,14046
1998,5590540,1.16572,33.11717,71.2802,9.60859,1.63763,9.98881,4.48139,86.08659,2.50401,2.33573,30.11849,NA,NA,NA,NA,NA,NA,NA,336,329,20.4,6708,5.05,33809
1999,5609020,1.14834,33.12902,70.64336,9.0692,1.61296,10.95232,4.7945,85.7846,2.54965,4.98363,30.46634,NA,NA,NA,NA,NA,NA,NA,387,381,20.6,7864,3.79,30098
